COLEGIO_NAME,DONE
CP INF-PRI REPUBLICA DE EL SALVADOR,0
CP INF-PRI SAGUNTO,0
CP INF-PRI SAN CARLOS,0
CP INF-PRI SAN ROQUE,0
CEPA LOS ROSALES,0
CEPA VILLAVERDE,0
IES CELESTINO MUTIS,0
IES CIUDAD DE LOS ÁNGELES,0
IES EL ESPINILLO,0
IES JUAN RAMON JIMÉNEZ,0
IES SAN CRISTOBAL DE LOS ANGELES,0
IES VILLAVERDE,0
CP INF-PRI-SEC SAN BLAS EEI LA COMETA,0
EEI LOS CUENTOS,0
EEI PUERTA DE MADRID,0
CP INF-PRI ALICIA DE LARROCHA,0
CP INF-PRI ANTONIO DE NEBRIJA,0
CP INF-PRI ANTONIO MACHADO,0
CP INF-PRI ANTONIO MINGOTE,0
CP INF-PRI BEATRIZ GALINDO,0
CP INF-PRI CARDENAL CISNEROS,0
CP INF-PRI CERVANTES,0
CP INF-PRI CIUDAD DEL AIRE,0
CP INF-PRI CRISTOBAL COLON,0
CP INF-PRI DAOIZ Y VELARDE,0
CP INF-PRI DOCTORA DE ALCALA,0
CP INF-PRI DULCINEA,0
CP INF-PRI EMPERADOR FERNANDO,0
CP INF-PRI ERNEST HEMINGWAY,0
CP INF-PRI ESPARTALES,0
CP INF-PRI FRANCISCO DE QUEVEDO,0
CP INF-PRI GARCIA LORCA,0
CP INF-PRI INFANTA CATALINA,0
CP INF-PRI IPLACEA,0
CP INF-PRI JUAN DE AUSTRIA,0
CP INF-PRI LA GARENA,0
CP INF-PRI LUIS VIVES,0
CP INF-PRI MANUEL AZAÑA,0
CP INF-PRI MIGUEL HERNANDEZ,0
CP INF-PRI MOZART,0
CP INF-PRI NUESTRA SEÑORA DEL VAL,0
CP INF-PRI PABLO NERUDA,0
CP INF-PRI SANTOS NIÑOS,0
CP EE PABLO PICASSO,0
CEPA DON JUAN I,0
UFIL EL EMPECINADO,0
CEPA.EP CLARA CAMPOAMOR,0
CEPA.EP JOSE HIERRO,0
A. HOSP. AULA HOSPITALARIA HOSP. UNIV.,0
CET PUERTA DE MADRID,0
IES ALKALA-NAHAR,0
IES ALONSO DE AVELLANEDA,0
IES ALONSO QUIJANO,0
IES ANTONIO MACHADO,0
IES ARQUITECTO PEDRO GUMIEL,0
IES ATENEA,0
IES CARDENAL CISNEROS,0
IES COMPLUTENSE,0
IES DOCTOR MARAÑON,0
IES ESCUELA DE HOSTELERIA Y TURISMO,0
IES IGNACIO ELLACURIA,0
IES ISIDRA DE GUZMAN,0
IES ISIDRA DE GUZMÁN,0
IES LAZARO CARRETER,0
IES MATEO ALEMAN,0
EOEP ATEN-TEMPR EQUIPO ATENCION,0
EOEP GENERAL EQUIPO GENERAL ALCALA,0
CP INF-PRI VIRGEN DE LA OLIVA,0
CP INF-PRI ANTONIO MACHADO,0
CP INF-PRI BENITO PEREZ GALDOS,0
CP INF-PRI CARRETAS,0
CP INF-PRI FEDERICO GARCIA LORCA,0
CP INF-PRI LEON FELIPE,0
CP INF-PRI MIGUEL HERNANDEZ,0
CP INF-PRI NUESTRA SEÑORA DE LA,0
CP INF-PRI ROSALIA DE CASTRO,0
CP INF-PRI SAN JUAN BAUTISTA,0
CEPA ENRIQUE TIERNO GALVAN,0
IES EL CARRASCAL,0
IES GRANDE COVIAN,0
IES JOSE SARAMAGO,0
IES LA POVEDA,0
EOEP ATEN-TEMPR EQUIPO ATENCION,0
EOEP GENERAL EQUIPO GENERAL,0
CP INF-PRI BELMONTE DE TAJO,0
CP INF-PRI-SEC FEDERICO GARCIA LORCA,0
CP INF-PRI MIGUEL DELIBES,0
SIES SECCION DEL IES LA POVEDA EN,0
CP INF-PRI SANTA LUCIA,0
CP INF-PRI HERMANOS ORTIZ DE ZARATE,0
IES CARPE DIEM,0
CP INF-PRI APIS AURELIA,0
SIES SECCION DEL IES CARPE DIEM EN,0
EEI LA CAÑADA,0
EEI LA RAMPA,0
CP INF-PRI ALFREDO LANDA,0
CP INF-PRI ANTONI TAPIES,0
CP INF-PRI BLAS DE OTERO,0
CP INF-PRI EL OLIVO,0
CP INF-PRI FELIX RODRIGUEZ DE LA,0
CP INF-PRI GONZALO DE BERCEO,0
CP INF-PRI MENENDEZ PIDAL,0
CP INF-PRI PABLO NERUDA,0
CP INF-PRI ROSALIA DE CASTRO,0
CP INF-PRI SAN ESTEBAN,0
CP INF-PRI SAN PABLO,0
CP INF-PRI SENECA,0
CP INF-PRI TORRES QUEVEDO,0
CP INF-PRI VILLALAR,0
CP INF-PRI WILLIAM SHAKESPEARE,0
CP EE GUADARRAMA,0
CP EE ROSA PARKS,0
CEPA COSLADA,0
IES ANTONIO GAUDI,0
IES LUIS BRAILLE,0
IES LUIS GARCIA BERLANGA,0
IES MANUEL DE FALLA,0
IES MARIA MOLINER,0
IES MIGUEL CATALAN,0
IES RAFAEL ALBERTI,0
EOEP GENERAL EQUIPO GENERAL,0
CP INF-PRI ANGEL BERZAL FERNANDEZ,0
IES MIGUEL DE CERVANTES,0
CP INF-PRI-SEC SALVADOR DE MADARIAGA,0
CP INF-PRI CARLOS RUIZ,0
CEPA.EP MADRID VII ESTREMERA,0
CP INF-PRI ALARILLA,0
CP INF-PRI CHARLES DICKENS,0
CP INF-PRI CONDE DUQUE DE OLIVARES,0
CP INF-PRI DUQUE DE ALBA,0
SIES SECCION DEL IES LUIS DE GONGORA,0
CP INF-PRI GENERAL IZQUIERDO,0
CP INF-PRI GLORIA FUERTES,0
CP INF-PRI SAN SEBASTIAN,0
IES GASPAR SANZ,0
EEI LAS CIGÜEÑAS,0
CP INF-PRI EUROPA,0
